origin,origin_name,destination_code,destination_name,country_code,currency,price,depart,booking_link
TYO,Tokyo,RIO,"Rio de Janeiro, Brazil",BR,USD,1358,2026-07-22,https://www.aviasales.com/search/TYO2207RIO1?marker=741311
TYO,Tokyo,SBH,"Saint Barthelemy, Guadeloupe",GP,USD,1372,2026-07-23,https://www.aviasales.com/search/TYO2307SBH1?marker=741311
TYO,Tokyo,PPT,"Papeete, French Polynesia",PF,USD,1385,2026-07-22,https://www.aviasales.com/search/TYO2207PPT1?marker=741311
TYO,Tokyo,AUA,"Oranjestad, Aruba",AW,USD,1385,2026-07-29,https://www.aviasales.com/search/TYO2907AUA1?marker=741311
TYO,Tokyo,HAR,"Harrisburg, United States",US,USD,1481,2026-07-28,https://www.aviasales.com/search/TYO2807HAR1?marker=741311
TYO,Tokyo,HTA,"Chita, Russia",RU,USD,1562,2026-07-22,https://www.aviasales.com/search/TYO2207HTA1?marker=741311
TYO,Tokyo,IKS,"Tiksi, Russia",RU,USD,1583,2026-07-20,https://www.aviasales.com/search/TYO2007IKS1?marker=741311
TYO,Tokyo,BOB,"Bora Bora, French Polynesia",PF,USD,1614,2026-07-20,https://www.aviasales.com/search/TYO2007BOB1?marker=741311
TYO,Tokyo,PAE,"Everett, United States",US,USD,1829,2026-07-31,https://www.aviasales.com/search/TYO3107PAE1?marker=741311
DEL,Delhi,POA,"Porto Alegre, Brazil",BR,USD,1223,2026-07-31,https://www.aviasales.com/search/DEL3107POA1?marker=741311
DEL,Delhi,BUE,"Buenos Aires, Argentina",AR,USD,1307,2026-07-20,https://www.aviasales.com/search/DEL2007BUE1?marker=741311
DEL,Delhi,SWF,"Newburgh, United States",US,USD,1341,2026-07-19,https://www.aviasales.com/search/DEL1907SWF1?marker=741311
DEL,Delhi,OAK,"Oakland, United States",US,USD,1420,2026-07-18,https://www.aviasales.com/search/DEL1807OAK1?marker=741311
DEL,Delhi,BOB,"Bora Bora, French Polynesia",PF,USD,1493,2026-07-27,https://www.aviasales.com/search/DEL2707BOB1?marker=741311
BOM,Mumbai,LIM,"Lima, Peru",PE,USD,1244,2026-07-31,https://www.aviasales.com/search/BOM3107LIM1?marker=741311
BOM,Mumbai,OAK,"Oakland, United States",US,USD,1317,2026-07-28,https://www.aviasales.com/search/BOM2807OAK1?marker=741311
MNL,Manila,LGP,"Legazpi, Philippines",PH,USD,42,2026-07-23,https://www.aviasales.com/search/MNL2307LGP1?marker=741311
MNL,Manila,PAE,"Everett, United States",US,USD,1351,2026-07-22,https://www.aviasales.com/search/MNL2207PAE1?marker=741311
MNL,Manila,OAK,"Oakland, United States",US,USD,1352,2026-07-21,https://www.aviasales.com/search/MNL2107OAK1?marker=741311
MNL,Manila,BUE,"Buenos Aires, Argentina",AR,USD,1380,2026-07-25,https://www.aviasales.com/search/MNL2507BUE1?marker=741311
MNL,Manila,SJC,"San Jose, United States",US,USD,1384,2026-07-21,https://www.aviasales.com/search/MNL2107SJC1?marker=741311
MNL,Manila,HAV,"Havana, Cuba",CU,USD,1581,2026-07-20,https://www.aviasales.com/search/MNL2007HAV1?marker=741311
